LATITUDE,LONGITUDE,Aug-22,Jan-23,Nov-22,Mar-22,WELL DEPTH
17.1538,82.2864,1.52,0.011555684,1.22,2.85,0.002961912
16.6963,82.1802,1.55,0.010111223,1.1,1.77,0.247344184
16.6728,82.165,0.9,0.014733497,1.91,1.1,0.2311674
16.7294,82.2141,2.1,0.016539073,2.06,2.54,0.252005085
16.8854,82.2339,0.72,0.010039,0.59,1.69,0.135752058
16.9557,82.1893,1.15,0.009822331,1.23,2.17,0.01999897
17.0137,82.2835,0.5,0.002888921,0.17,1.43,0.012815997
17.0094,82.2482,1.85,0.010761231,1.26,2.65,0.012815997
16.985,82.2757,1.08,0.00931677,1.04,2.05,0.013218105
16.95,82.2375,1.51,0.05156724,6.39,0.78,0.01999897
16.9833,82.2491,13.44,0.093817709,11.74,13.93,0.010913797
16.9248,82.236,1.2,0.008955655,5.91,1.75,0.130250286
16.9503,82.237,1.24,0.008233425,0.08,2.04,0.01999897
17.024,82.2419,10.65,0.014661274,0.84,2.795,0.012568587
17.4486,82.3317,1.88,0.019211325,1.81,3.55,0.004726392
17.0805,82.3355,0.56,0.006138957,1.6,1.61,0.003372914
16.716,81.8977,4.68,0.018922432,2.37,5.8,0.261960506
16.7159,81.8964,5.25,0.031705908,2.37,5.8,0.261960506
16.927,81.9167,0.69,0.010761231,1.2,1.7,0.164170512
16.4135,81.8047,1.25,0.011844576,1.11,1.79,0.246827264
16.4077,81.7513,25.35,0.167485194,22.48,2.328,0.246827264
16.5307,81.9234,2.55,0.024483605,1.53,4.48,0.226557975
17.5959,81.7149,3.03,0.031633685,3.89,4.52,0.011818002
16.6165,82.0731,1.39,0.024916944,1.11,2.39,0.226557975
16.6442,82.1014,14.88,0.018200202,13,2.81,0.226557975
16.6562,82.1221,1.57,0.011483461,1.39,3.23,0.227418789
16.5975,81.916111,2.27,0.009497328,1.235,3.06,0.226557975
16.6998,82.038,0.87,0.007511195,1.08,1.35,0.257632718
17.113,82.2599,0.45,0.002816698,0.48,1.1,0.002409417
17.1007,82.2462,5.78,0.013830709,0.48,1.1,0.003003686
17.227,82.2285,2.6,0.02484472,2.09,6.4,0.002933614
17.2302,82.1986,1.33,0.025494728,1.09,4.82,0.002933614
16.9915,81.7776,1.35,0.012566806,1.43,3.5,0.010102573
17.0129,81.7828,1.41,0.018127979,1.46,4.98,0.012815997
16.9384,81.9542,2.52,0.019500217,1.69,2.52,0.035081275
17.0595,81.8051,1.6,0.024483605,1.99,4.83,0.002860846
17.083,81.9065,1.12,0.016755742,0.93,4.33,0.004273077
17.5841,82.2685,1.03,0.019789109,1.37,4.54,0.011818002
17.4855,82.1582,2.6,0.032500361,1.72,6.84,0.00469486
