State,District,Actual (mm),Normal (mm),Deviation (mm),DISTRICT,LATITUDE,LONGITUDE,Ground Water level (mbgl),Refresh Rate
andhra pradesh,srikakulam,1317.57,1156.9,13.89,srikakulam,18.5093,84.0632,2.8,27.0657
andhra pradesh,chittoor,2210.85,841.2,162.82,chittoor,13.1956,79.004,5.08,207.037
andhra pradesh,east godavari,2030.6,1124,80.66,east godavari,17.4633,82.0271,8.26,121.272
andhra pradesh,visakhapatnam,1801.31,1111.2,62.1,visakhapatnam,17.6809,82.9817,1.79,98.1262
andhra pradesh,guntur,1582.55,903.5,75.16,guntur,16.5733,80.3612,1.27,106.811
madhya pradesh,jhabua,4497.43,849.1,429.67,jhabua,22.785,74.4656,5.45,609.5672
madhya pradesh,seoni,1633.16,1317.6,23.95,seoni,21.9472,79.7119,5.64,89.2764
madhya pradesh,morena,1105.94,753.7,46.73,morena,26.4306,77.8767,18.4,79.9082
madhya pradesh,rewa,1000.05,1143.1,47.26333333,rewa,24.7769,82.0833,9.06,87.26533333
madhya pradesh,sehore,1209.15,1217.7,47.79666667,sehore,23.0225,76.7158,3.85,59.88816667
madhya pradesh,datia,1266.17,853.6,48.33,datia,25.89,78.7956,13.37,98.9768
madhya pradesh,umaria,1221.12,1250.6,25.93,umaria,23.6644,80.9436,5.17,86.986
madhya pradesh,vidisha,1175.42,1135.3,3.53,vidisha,23.9133,77.9997,5.01,27.0384
madhya pradesh,barwani,904.22,742.5,21.78,barwani,21.6825,74.9233,6.35,48.9066
madhya pradesh,hoshangabad,1341.33,1437.7,20.775,hoshangabad,22.6264,77.6389,8.35,87.8415
madhya pradesh,chhindwara,1463.1,1221.6,19.77,chhindwara,22.3014,79.1708,11.5,78.294
madhya pradesh,alirajpur,8598.8,1158.35,17.75,alirajpur,22.43,74.4372,15,447.69
madhya pradesh,chhatarpur,1267.35,1095.1,15.73,chhatarpur,24.4775,79.275,4.18,79.0975
madhya pradesh,tikamgarh,1038.72,1070.3,8.335,tikamgarh,24.7561,79.05,1.08,60.271
madhya pradesh,shahdol,1237.49,1226,0.94,shahdol,24.0981,81.4314,2.04,50.4396
madhya pradesh,betul,1338.73,1081.3,23.81,betul,21.9242,78.1181,2.94,90.7465
madhya pradesh,panna,1262.23,1182.9,6.71,panna,24.8536,80.1786,5.4,69.8215
madhya pradesh,gwalior,1139.19,879,29.6,gwalior,25.8433,77.9519,3.9,86.5595
madhya pradesh,rajgarh,1173.27,999.6,17.37,rajgarh,23.8967,76.4533,8.53,29.1027
madhya pradesh,bhind,1161.17,754.4,53.92,bhind,26.75,78.6442,12.9,111.9785
madhya pradesh,mandla,1437.72,1445.1,48.09166667,mandla,22.4517,80.7,5.27,105.6004667
madhya pradesh,katni,1103.43,1171.4,42.26333333,katni,23.7486,80.5769,7.95,75.36623333
madhya pradesh,dewas,1015.48,1069,36.435,dewas,22.6392,76.3472,6.64,46.5898
madhya pradesh,damoh,1152.42,1170.4,30.60666667,damoh,23.705,79.5367,3.07,53.65506667
madhya pradesh,singrauli,1118.76,1025.65,24.77833333,singrauli,24.1964,82.4558,8.94,47.15353333
madhya pradesh,mandsaur,1047.82,880.9,18.95,mandsaur,24.4742,75.6881,5,60.8628
madhya pradesh,bhopal,1189.35,1106.7,7.47,bhopal,23.7944,77.2564,6.56,19.3635
madhya pradesh,narsimhapur,1289.49,1243.1,3.73,narsimhapur,23.1147,78.925,20.4,16.6249
madhya pradesh,indore,931.55,941.4,11.99,indore,22.8433,75.5394,18.1,30.621
madhya pradesh,sidhi,1112.86,1175.6,20.25,sidhi,23.9867,81.7086,4.3,53.6358
madhya pradesh,balaghat,1891.11,1471.6,28.51,balaghat,22.1042,80.5514,6.55,123.0655
madhya pradesh,guna,1203.21,1051.3,14.45,guna,24.8528,77.1389,1.84,50.5463
madhya pradesh,anuppur,1353.75,1060.1,11.96666667,anuppur,23.2144,82.1042,3.17,25.50416667
madhya pradesh,burhanpur,1006.6,1068.9,9.483333333,burhanpur,21.5292,76.3106,6.25,49.74733333
madhya pradesh,satna,1153.17,1077.7,7,satna,24.3528,81.0389,3,41.5951
madhya pradesh,dindori,1458.36,1376.7,5.93,dindori,22.7861,80.9722,4.26,49.6808
madhya pradesh,ratlam,1045.72,953.5,9.67,ratlam,23.7578,75.5297,22.7,20.1272
madhya pradesh,shajapur,1152.12,1020.2,12.93,shajapur,23.3342,76.8333,7.63,35.9724
madhya pradesh,sheopur,861.69,842.2,2.31,sheopur,25.5344,76.945,4.5,10.9269
madhya pradesh,jabalpur,1187.22,1227.3,44.74333333,jabalpur,23.0961,80.0547,2.36,80.35993333
madhya pradesh,sagar,1143.1,1197.6,87.17666667,sagar,24.0456,78.9672,1.62,121.4696667
madhya pradesh,dhar,1966.64,856.5,129.61,dhar,22.87,75.2581,4.45,208.2756
madhya pradesh,neemuch,980.57,850.2,15.33,neemuch,24.8383,75.14,5.5,44.7471
madhya pradesh,harda,1218.91,1374.5,15.615,harda,22.4844,76.9811,7.88,64.3714
madhya pradesh,ujjain,1057.56,912.5,15.9,ujjain,23.0447,75.3789,5.66,47.6268
madhya pradesh,raisen,1227.45,1237.6,10.755,raisen,23.6067,78.3486,8.05,35.304
madhya pradesh,shivpuri,945.84,895.6,5.61,shivpuri,25.0867,77.7928,8,33.9852
kerala,alappuzha,8412,3003.7,180.05,alappuzha,9.4952,76.3341,3.81,516.53
kerala,pathanamthitta,11266.6,2839.7,296.75,pathanamthitta,9.1154,76.7322,6.22,747.414
kerala,ernakulam,8328.85,3577.9,132.79,ernakulam,10.0946,76.2926,1.85,465.944
kerala,malappuram,10346.37,2850.4,262.98,malappuram,10.7611,75.9667,5.35,573.3711
kerala,kannur,9424.43,3373.1,179.4,kannur,11.8805,75.5037,8.76,556.3772
kerala,kollam,8529.67,2494.2,241.98,kollam,8.9467,76.9658,2.23,668.4635
kerala,palakkad,11881.9,2476.5,379.79,palakkad,11.01,76.3472,4.66,617.428
kerala,kasaragod,10433.4,3621.4,188.1,kasaragod,12.3392,75.1082,2.81,501.102
kerala,thrissur,11740.92,3077.3,281.53,thrissur,10.4118,76.1616,8.09,751.1668
kerala,idukki,7304.55,3771.8,93.66,idukki,10.0133,76.9546,5.87,239.751
